,M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元)
公司,2016/9/30,2016/6/30,2016/3/31,2015/12/31,2015/9/30,2015/6/30,2015/3/31,2014/12/31,2014/9/30,2014/6/30,2014/3/31,2013/12/31,2013/9/30,2013/6/28,2013/3/29,2012/12/28,2012/9/28,2012/6/29,2012/3/30
1506 正道,0.1,0.09,0.05,0.29,0.27,0.09,0.05,0.11,0.09,-0.03,-0.06,-0.69,-0.32,-0.26,-0.17,-0.69,-0.04,0.07,0.05
1507 永大,3.18,2.08,1.17,4.53,3.62,2.31,1.21,4.95,3.89,2.17,1.07,4.19,2.79,1.6,0.83,3.79,2.82,1.55,0.66
1512 瑞利,-0.84,-0.46,-0.13,-0.83,-0.93,-0.89,-0.33,-1.3,-1.13,-0.8,-0.43,-0.68,-0.92,-0.54,-0.14,0.2,0.09,0.02,-0.2
1513 中興電,1.19,0.69,0.36,1.34,1.33,0.55,0.3,1.5,0.84,0.55,0.2,1.25,0.73,0.54,0.23,1.16,0.95,0.54,0.28
1514 亞力,0.54,0.49,0.41,0.59,0.55,0.22,0.11,0.55,0.26,0.08,0.12,0.36,0.28,0.27,0.15,0.58,0.5,0.28,0.2
1515 力山,0.53,0.12,0.01,0.7,0.69,0.04,0.1,0.81,0.35,0.04,0.06,1.14,0.75,0.66,0.06,0.35,0.19,0.14,0.01
1516 川飛,0.71,0.86,0.71,2.91,3.4,3.52,3.8,1.61,0.6,0.18,0.06,0.19,0.14,0.05,0.06,-4.62,-4.42,-1.52,-0.04
1517 利奇,0.16,0.1,0.03,0.61,0.54,0.26,0.02,1.01,0.74,0.41,0.26,1.52,0.97,0.56,0.26,1.17,0.77,0.45,0.18
1519 華城,0.95,0.51,-0.13,0.86,0.58,0.42,-0.01,1,0.45,0.22,0.17,0.44,0.33,0.12,0.05,0.27,-0.25,-0.34,-0.25
1521 大億,4.58,3.55,2.05,5.9,4.88,3.46,2.24,4.88,3.74,2.55,1.34,4.02,2.5,1.52,0.71,3.66,2.72,2.09,0.95
1522 堤維西,2.41,1.61,0.74,2.43,1.69,0.78,0.42,1.64,1.04,0.62,0.5,0.2,0.52,0.53,0.27,-0.57,-0.31,-0.08,-0.15
1524 耿鼎,0.77,0.59,0.28,-1.06,-1.42,-1.62,-1.19,0.04,0.01,0.02,0.07,-0.3,-0.02,0.07,0.02,-0.77,-0.47,-0.3,-0.13
1525 江申,5.3,3.72,1.9,6.31,3.92,2.55,1.31,4.62,3.37,2.16,1.05,4.3,3.06,1.65,0.71,4.44,3.49,2.54,1.22
1526 日馳,1.07,0.99,0.22,1.45,1.44,0.48,0.09,1.09,0.77,0.53,0.25,0.7,0.51,0.38,0.19,0.28,0.18,0.1,0.01
