,M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元)
公司,2016/9/30,2016/6/30,2016/3/31,2015/12/31,2015/9/30,2015/6/30,2015/3/31,2014/12/31,2014/9/30,2014/6/30,2014/3/31,2013/12/31,2013/9/30,2013/6/28,2013/3/29,2012/12/28,2012/9/28,2012/6/29,2012/3/30
3060 銘異,0.8,0.47,0.12,4.33,3.49,1.79,1.25,4.16,2.84,1.5,0.76,3,1.94,1.19,0.66,6.15,6.42,6.13,1.51
3062 建漢,0.71,0.57,0.33,1.41,1.01,0.63,0.4,1.05,0.73,0.42,0.06,0.49,0.49,0.39,0.18,0.21,0.17,0.11,0.07
3064 泰偉,-0.93,0.25,1.17,-3.74,-2.87,-2.29,-1.7,-2.65,-2.11,-1.22,-0.47,-0.45,-0.19,0,-0.86,0.48,-0.27,0.01,0
3066 李洲,-1.2,-0.86,-0.24,-1.77,-1.22,-0.85,-0.43,-1.07,-0.92,-0.33,-0.2,-1.5,-0.84,-0.46,-0.28,-0.84,-0.87,-0.64,-0.31
3067 全域,-0.98,-0.9,-0.65,-1.34,-1.16,-0.77,-0.6,0.17,-0.26,0,0.05,-1.47,-0.37,-0.61,-0.12,-0.91,0.2,0.16,0.24
3068 美磊,3.28,1.73,0.7,1.83,1.3,0.6,0.31,1.4,1.06,0.37,0.17,1.38,1.62,0.56,0.11,0.86,1.09,0.48,0.25
3071 協禧,0.46,0.21,0.02,0.05,-0.05,-0.07,-0.09,0,0.03,-0.03,-0.1,-1.06,-0.55,-0.33,-0.2,0.03,0.19,0.08,0
3073 普格,0.22,0.18,-0.07,-0.66,-0.32,-0.21,0.02,-1.59,-1.14,-0.23,-0.14,0.16,0.37,0.21,-0.12,-11.33,-9.61,-1.75,0.27
3078 僑威,2.25,1.3,0.57,2.62,1.59,0.76,0.41,2.14,1.47,0.92,0.43,1.1,0.84,0.48,0.27,0.46,0.32,0.22,0.06
3081 聯亞,8.69,8.6,4.45,14.89,10.3,7.22,3.3,11.19,7.75,5.16,,6.02,,,,6.35,,,
3083 網龍,-0.92,-0.71,-0.49,-3.61,-2.62,-1.83,-0.93,-2.35,-1.41,-0.74,-0.24,-0.4,0.07,0.49,0.15,0.56,0.63,0.42,0.11
3085 久大,-0.15,-0.05,-0.03,0.05,-0.08,-0.08,-0.06,-3.23,-3.2,-3.19,-3.08,-0.07,-0.18,-0.46,-0.13,-2.17,-1.59,-0.85,-0.21
3086 華義,-2.45,-1.62,-0.08,-2.21,-1.57,-1.06,-0.54,-3.09,-2.03,-1.14,-0.38,-1.33,-0.92,-0.45,-0.07,0.15,0.09,0.32,0.5
3088 艾訊,3.47,2.32,1.35,5.38,4,2.11,1.13,4.75,3.83,2.56,1.35,3.47,2.79,1.8,0.88,2.31,1.68,1.02,0.21
3089 遠昇,-6.71,-3.02,-0.47,-3.43,-2.42,-1.46,-0.29,-2.02,-1.01,-0.59,-0.27,-1.24,-0.4,-0.22,-0.06,0.86,0.56,0.62,0.1
3090 日電貿,1.68,1.08,0.46,2.23,1.67,0.9,0.65,2.44,1.38,0.99,0.62,2.52,2,1.02,0.51,1.62,1.39,0.83,0.38
3092 鴻碩,2.84,1.6,0.48,1.24,0.7,0.01,0.04,1.05,0.84,0.55,0.05,-0.44,-0.39,-0.21,-0.08,-0.31,-0.11,0.17,0.05
3093 港建,1.9,1.39,0.66,2.67,1.36,0.69,0.42,1.91,1.23,0.38,0.45,2.72,1.8,0.92,0.51,2.63,2.1,1.47,1.05
3094 聯傑,0.59,0.43,0.22,1.01,0.77,0.43,0.1,1,0.75,0.5,0.25,0.87,0.63,0.38,0.17,0.75,0.62,0.45,0.15
3095 及成,-4.7,-4.36,-1.26,-1.76,-2.16,0.25,1.36,-4.25,-2.58,-1.76,-0.49,-4.63,-2.86,-2.06,-0.94,-5.19,-2.07,-1.45,-0.74
3105 穩懋,4.62,2.6,1.41,3.97,2.81,1.55,0.83,2.65,1.9,0.88,0.29,2.4,2.23,1.77,1.04,2.45,2.21,1.36,0.7
3114 好德,-0.13,-0.3,-0.27,1.18,1.17,0.26,0.23,1.16,0.87,0.46,0.4,0.67,0.5,0.44,0.32,0.55,0.44,0.21,0.01
3115 寶島極,-0.09,-0.03,-0.08,-0.17,-0.03,0.06,-0.11,0.48,0.44,0.24,0.11,0.82,0.69,0.28,0.03,0.31,0.01,-0.08,-0.15
3118 進階,1.19,0.85,0.47,2.42,1.74,1.12,0.48,2.37,1.49,1.04,0.48,1.99,1.31,0.88,0.44,1.63,1.13,0.81,0.33
3122 笙泉,0.4,0.51,0.27,1.04,0.62,0.43,0.15,1.71,1.2,0.85,0.19,1.18,0.81,0.57,,0.45,,0,
3128 昇銳,0.06,0.1,0.01,0.06,-0.1,-0.09,-0.22,-0.43,-0.34,-0.14,0.02,0.08,0.26,0.21,0.02,-0.91,-0.78,-0.65,-0.4
3130 一零四,10.69,8.02,4.95,9.99,7.78,5.29,2.07,9.41,7.26,4.15,1.58,7.46,5.42,3.25,1.28,5.05,3.65,2.01,0.37
3131 弘塑,9.54,6.74,3.76,16.41,10.51,5.59,2.93,11.9,6.79,3.97,3.01,20.3,16.87,10.94,5.1,12.46,8.21,3.07,1.29
3141 晶宏,2.01,1.6,0.69,0.88,0.69,0.39,0.22,1.08,0.7,0.34,0.1,0.63,0.51,0.25,0.17,0.65,,0.12,
3144 新揚科,0.56,0.2,0.03,1.24,1.21,0.71,0.32,2.31,1.85,0.98,0.35,2.17,1.43,1,0.47,2.38,1.69,0.51,-0.1
3149 正達,-1.02,0.05,0.06,-19.1,-14.6,-12.49,-1.42,-7.93,-4.23,-3.19,-1.57,-4.74,-2.68,-1.28,0.31,2.72,2.1,1.53,0.95
3152 璟德,8.31,5.26,2.48,11.06,8.03,4.51,2.01,6.85,4.89,3.12,1.53,6.89,5.18,3.29,1.4,4.76,3.64,2.48,0.91
3162 精確,-2.13,-0.61,-0.35,-0.15,-0.1,-0.21,-0.18,-0.37,-0.37,-0.39,-0.38,-1.16,-0.92,-0.3,-0.42,0.07,0.09,-0.15,-0.2
3163 波若威,3.09,1.46,0.52,-0.97,-0.18,0.07,0.02,2.08,1.92,1.82,0.95,5.66,3.71,2.13,0.72,3.16,1.99,1.24,
3164 景岳,-0.21,-0.1,-0.09,-1.1,-0.46,-0.58,-0.3,-5.82,-1.33,-0.52,-0.13,0.51,0.97,0.73,0.35,0.53,0.73,-0.08,-0.12
3167 大量,1.51,1.04,0.57,2.47,2.92,1.77,0.77,3.27,2.46,1.86,0.77,2.58,2.43,1.48,0.73,2.45,,2.62,
3169 亞信,0.85,0.49,0.21,1.21,0.73,0.31,0.23,1.28,0.82,0.47,0.18,2.01,1.43,0.95,0.38,2.19,1.86,1.28,0.6
3171 新洲,1.11,0.78,0.33,1.41,1.27,0.87,0.38,1.15,0.99,0.7,0.33,0.61,0.72,0.74,0.86,0.04,-0.32,-0.17,-0.18
3176 基亞,-3.18,-2.1,-0.82,-3.9,-2.77,-1.86,-1.04,-5.06,-3.92,-1.65,-0.75,-2.79,-1.78,-0.96,-0.28,2.22,-1.25,-1.02,-0.34
3188 鑫龍騰,-0.38,-0.28,-0.13,-0.61,-0.17,-0.35,-0.2,-0.62,-0.48,-0.26,-0.03,-1.04,-0.29,0.05,-0.11,-1.32,-0.97,-0.85,-0.69
3189 景碩,3.92,2.51,1.16,6.51,4.46,2.73,1.38,8.11,6.77,4.54,1.78,7.23,5.47,3.57,1.7,6.27,4.59,3.08,1.38
3191 和進,-3.66,-1.35,-0.59,-2.46,-1.72,-1.59,-1.09,-1.4,-0.72,-0.54,-0.08,1.57,-0.62,-0.19,-0.07,-2.75,-1.39,-0.81,-0.54
3202 樺晟,0.21,-0.05,-0.12,-0.24,-0.28,-0.33,-0.1,0.36,0.41,0.25,0.02,-1.82,-1.12,-0.8,-0.33,-1.74,-0.98,-0.29,-0.47
3205 佰研,8.17,8.52,4.97,11.81,6.25,2.09,0.84,0.41,-0.18,-0.27,-0.41,0.02,-0.6,-0.88,-0.49,0.43,0.07,0.19,0.12
3206 志豐,0.83,1,0.57,2.03,1.8,1.13,0.33,1.56,1.26,0.62,0.16,0.5,0.29,0.25,0.15,1.22,1.1,0.76,0.25
3207 耀勝,0.31,0.16,0.02,-1.9,-1.32,-1.16,-0.73,-1.1,-0.76,-0.79,-0.58,-1.86,-1.53,-0.96,-0.51,-0.59,-0.16,-0.37,-0.29
3209 全科,1.5,1.01,0.57,3.34,2.16,1.28,0.84,3.11,2.27,1.55,0.78,2.07,1.51,1.05,0.51,1.05,1.2,0.67,0.25
3211 順達,2.5,1.69,0.87,4.64,3.21,1.7,1,6.09,4.62,3.16,1.71,5.5,4,2.73,1.7,10.26,8.61,5.9,2.89
3213 茂訊,2.02,1,0.42,3.98,2.8,1.87,1.37,3.88,2.47,1.44,0.95,3.28,2.16,1.55,0.63,2.66,1.84,1.16,0.86
3217 優群,1.55,0.55,0.2,1.11,0.94,0.34,0.2,1.53,1.13,0.61,0.19,1.14,0.92,0.62,0.25,1.02,0.82,0.46,0.08
3218 大學光,0.67,0.49,0.1,1.23,0.96,0.58,0.28,1.54,1.15,0.72,0.41,1.31,0.65,0.24,0.11,-1.33,-0.71,-0.46,0.05
3219 倚強,-0.58,0.2,0.14,-0.17,-0.08,-0.2,-0.19,0.14,0.26,0.07,-0.03,0.06,-0.22,-0.19,-0.12,-1.29,-0.53,-0.21,-0.16
3221 台嘉碩,0.96,0.85,0.41,1.25,0.8,0.22,0.21,1.58,1.1,0.82,0.47,1.13,0.7,0.48,0.14,-0.07,-0.45,-0.59,-0.24
3224 三顧,-1.37,-0.89,-0.39,0.05,0.11,-0.22,-0.1,0.6,0.46,0.35,0.28,0.2,0.28,0.07,-0.01,-1.06,-0.88,-0.57,-0.33
3226 至寶電,1.52,1.21,0.67,3.12,2.19,1.08,0.48,2.03,1.45,0.91,0.42,0.39,0.23,0.16,0.06,-0.88,-0.59,-0.39,-0.13
3227 原相,0.67,0.42,0.2,2.4,1.83,1.09,0.59,2.95,2.31,1.61,0.75,2.06,1.45,0.6,0.11,2.2,1.55,0.58,0.28
3228 金麗科,-0.27,-0.29,-0.14,-0.93,-0.65,-0.32,-0.16,-1.39,-0.73,-0.56,-0.36,-0.83,-0.67,-0.41,-0.16,-0.96,-0.7,-0.31,0.05
3229 晟鈦,-1.38,-0.73,-0.01,-0.44,-0.28,-0.09,-0.04,0.53,0.35,0.23,0.18,0.69,0.4,0.44,0.25,-1.99,-0.59,-0.12,-0.13
3230 錦明,-0.94,-0.69,-0.31,-0.74,-0.75,-0.33,-0.07,-1.31,-0.4,-0.33,-0.06,0.2,0.11,-0.86,-0.24,-2.41,-0.87,-0.61,-0.31
3231 緯創,0.61,0.41,0.16,0.55,0.59,0.32,0.3,1.5,1.27,0.66,0.15,2.51,2.12,1.46,0.74,3.06,2.24,1.53,0.9
3232 昱捷,-1.04,-0.68,-0.21,0.14,0.61,0.69,0.28,2.74,2.2,0.95,0.35,0.9,0.56,0.6,0.06,0.02,0.4,0.25,0.02
3234 光環,3.7,3.61,2.46,8.04,4.78,1.76,0.99,2.93,1.83,1.18,0.47,0.98,0.7,0.86,0.35,2.1,1.63,1.07,0.57
3236 千如,1.61,1.12,0.39,1.13,0.76,0.03,-0.1,1.16,1.04,0.62,0.42,0.03,-0.02,-0.05,0,0.11,0.32,0.16,-0.27
3252 海灣,0.4,-1.17,-0.22,14.15,-1.95,-0.98,-0.4,0.17,-1.67,-1.16,0.06,0.51,0.29,0.53,-0.13,0.92,0.48,0.63,0.1
3257 虹冠電,1.62,1.27,0.42,2.39,1.88,1.08,0.6,5.58,4.31,2.85,1.38,4.85,3.44,2.31,0.99,3.05,2.29,1.58,0.68
3259 鑫創,-0.94,-0.68,-0.26,-2.17,-1.76,-1.11,-0.27,-1.38,-1.32,-0.77,-0.27,-1.35,-1.61,-1.2,-0.78,-2.05,-1.65,-0.68,-0.22
3260 威剛,2.62,0.97,0.56,-0.2,-0.75,-1.07,0.12,3.52,4,3.44,1.61,9.08,8.82,8.55,3.2,3.04,2.32,2.15,1.37
3264 欣銓,1.33,0.72,0.23,2.14,1.79,1.12,0.67,2.65,1.86,1.06,0.38,1.87,1.32,0.72,0.29,1.83,1.4,0.85,0.35
3265 台星科,0.62,0.13,-0.67,-1.2,0.09,0.98,0.62,3.71,2.65,1.36,0.47,4.02,2.92,1.67,0.82,3.61,2.77,2,0.98
3266 昇陽,-0.23,-0.1,-0.02,-1.31,-1.33,-0.3,-0.12,4.02,4.93,5.04,4.89,6.33,4.76,3.41,2.64,0.48,0.28,0.17,0.27
3268 海德威,-0.76,-0.3,-0.39,-0.5,-0.32,-0.85,-0.31,10.23,10.07,10.07,10.09,-0.58,-0.31,-0.11,-0.09,-2.17,-0.98,-0.72,-0.75
3272 東碩,1.84,1.19,0.46,4.39,3.24,2.01,1.15,11.96,9.2,5.5,2.78,5.32,3.71,2.07,0.94,1.75,,0.49,
3276 宇環,-0.01,-0.5,-0.28,0.29,0.26,0.1,0.07,1.41,1.13,0.96,0.44,0.01,-0.21,-0.15,-0.27,-0.06,0.07,0.2,0.15
3284 太普高,0.6,0.35,0.15,1.29,1.17,-0.07,-0.02,0.04,0.05,0.06,0.01,1.02,0.81,0.54,0.28,1.32,1.03,0.58,0.34
3285 微端,0.61,0.42,0.12,1.33,1.14,0.15,0.02,0.85,0.59,0.11,0.02,0.33,0.24,0.24,0.11,1.22,0.9,0.33,0.1
3287 廣寰科,-0.8,-0.72,-0.37,-0.65,-0.33,-0.43,-0.35,-0.29,-0.32,-0.35,-0.13,0.49,0.61,0.31,0.02,-0.91,-0.51,-0.23,-0.14
3288 點晶,-1.98,-1.46,-0.45,-1.99,-1.23,-0.88,-0.34,-0.42,-0.53,-0.47,-0.25,-1.5,-1.12,-0.71,-0.37,-2.39,-1.98,-1.43,-0.89
3289 宜特,4.14,3.31,1.61,7.01,5.55,3.53,1.02,4.78,4.51,2.91,1.25,1.98,0.92,0.78,0.01,1.26,1.05,0.46,0.17
3290 東浦,-0.43,-0.48,-0.31,0.97,1.12,0.9,0.39,0.58,-0.62,-1.09,-0.14,3.16,2.07,1.79,1.78,-1.89,-1.23,-1.26,-0.28
3293 鈊象,9.7,7.17,3.4,4.4,2.73,1.37,0.27,3.28,2.51,1.27,0.28,1.7,1.33,1.14,0.81,4.49,4.68,3.93,2.32
3294 英濟,0.31,-0.26,-0.49,0.6,0.45,-0.24,0.02,-1.49,-1.26,-1.04,-0.5,-0.63,0.02,0.16,0.08,-1.36,-1.04,-0.76,-0.16
3296 勝德,0.39,0.1,-0.25,0.08,-0.17,-0.54,-0.29,0.37,0.02,-0.27,-0.28,-0.58,-0.52,-0.45,-0.28,1.02,1.02,0.7,0.53
3297 杭特,0.07,0.4,0.33,0.87,0.61,0.15,0.33,2.41,1.39,0.87,0.93,3.84,2.73,1.81,0.89,2.07,1.19,0.53,-0.05
3299 帛漢,3.81,2.48,1.24,5.75,4.4,2.87,1.53,4.71,3.65,2.38,0.96,3.08,2.35,1.53,0.63,2.58,2.17,1.56,0.67
3303 岱稜,1.31,0.97,0.42,1.53,1.08,0.33,0.02,0.6,0.37,0.83,0.43,1.59,1.24,0.8,0.46,1.58,1.36,0.4,0.02
3305 昇貿,1.85,1.19,0.51,0.94,0.71,0.41,0.26,2.53,2.06,1.4,0.81,3.02,2.31,1.82,1.08,3,2.34,1.6,0.72
3306 鼎天,0.81,0.73,0.13,1.11,1.01,0.71,0.11,1.64,1.41,0.94,0.35,2.02,1.15,0.63,0.11,1.21,1.14,0.8,0.1
3308 聯德,-0.13,0.27,0.35,0,0.22,-0.05,-0.16,-0.33,-0.81,-1.12,-0.57,-1.2,-0.79,-0.31,-0.04,-0.34,-0.41,-0.07,0.02
3310 佳穎,0.22,0.29,0.22,1,0.45,0.21,0.1,0.17,0.06,-0.03,0.03,0.16,0.09,0.12,0.06,0.51,0.36,0.09,0.03
3311 閎暉,-0.48,-0.36,-0.37,0.79,0.83,0.47,0.16,-7.32,-7.32,-0.65,-0.25,1.43,1.42,1.19,0.57,4.67,3.53,2.45,1.18
3312 弘憶股,0.5,0.39,0.1,-2.76,-0.89,-0.59,-0.11,0.93,0.45,-0.1,0.07,1.17,0.69,0.48,0.32,0.45,0.21,0.07,-0.1
3313 斐成,-1.13,-0.88,-0.39,-1.93,-0.61,-0.65,0.02,-2.22,-2.37,-2.24,-0.05,-0.5,-0.49,-0.31,-0.13,-0.26,0.21,0.44,0.51
3315 宣昶,0.38,0.29,0.27,0.99,0.35,-0.42,0.13,2.04,1,0.64,0.48,0.86,0.15,0.15,0.06,0.76,0.64,0.32,0.1
3317 尼克森,0.63,0.53,0.11,-0.44,-0.55,-0.49,-0.07,0.25,0.22,0.18,0.08,0.44,0.38,0.25,0.11,-0.57,-0.73,-1.08,-0.93
3321 同泰,-2.41,-1.44,-0.54,2.21,2.18,1.76,1.02,4.53,3.46,2.06,,3.84,,,,1.23,,,
3322 建舜電,-0.92,-0.74,-0.32,-1.23,-0.77,-0.76,-0.32,0.27,0.1,0,0.21,-0.31,-0.31,0.28,0.23,-1.33,-1.04,-1.16,-0.64
3323 加百裕,0.35,0.01,0.02,1.1,0.91,0.15,0.34,1.53,0.76,0.82,0.41,0.06,0.19,0.27,0.02,0.6,0.57,0.65,0.31
3324 雙鴻,5.83,3.3,1.54,2.42,1.55,-0.44,-0.4,0.22,-0.24,0.08,0.04,0.6,0.13,0.06,0.03,2.15,2.02,1.02,0.51
3325 旭品,0.12,-0.01,0.02,0.16,-0.08,-0.12,-0.11,0.01,0.09,0.18,0.03,-0.91,-0.46,-0.41,-0.45,-1.8,-1.04,-1.04,-0.57
3332 幸康,1.9,1.16,0.62,2.49,2.17,1.32,0.51,3.07,2.32,1.62,0.63,3.52,2.81,1.76,0.8,2.2,1.69,1.15,0.62
3338 泰碩,1.61,0.72,0.24,1.9,1.08,0.38,0.24,2.38,1.71,1.11,0.44,2.34,1.45,1.1,0.71,2.21,,0.96,
3339 泰谷,-3.93,-0.73,-0.41,-3.62,-1.98,-1.16,-0.5,-2.11,-1.02,-0.66,-0.38,-3.02,-1.69,-1.08,-0.76,-2.65,-1.74,-1.1,-0.5
3346 麗清,1.85,1.3,0.53,1.27,1.08,1.03,0.85,1.43,,0.14,,1.46,,1,,0.53,,0.4,
3354 律勝,-0.35,-0.29,-0.17,0.24,0.18,-0.16,-0.05,0.43,0.24,0.05,0.06,0.02,0.09,0.12,0.1,0.16,0,0,0.04
3356 奇偶,1.41,1.3,0.61,4.58,3.77,2.31,1.12,7,5.18,3.6,2.33,9.15,7.06,4.7,2.22,8.77,6.21,3.9,1.81
3360 尚立,0.85,0.4,0.25,0.91,0.83,0.38,0.17,1.9,1.41,1.04,0.22,-2.49,-2.26,-0.7,-0.16,0.2,0.06,-0.18,-0.16
3362 先進光,0.42,0.03,-0.04,-1.11,-0.63,-0.66,-0.36,1.33,1.05,0.19,0.07,1.11,1.1,0.83,0.13,1.05,0.73,0.26,-0.47
3363 上詮,1.87,1.53,1.53,-0.63,0.13,-0.1,-0.07,-0.16,0.07,0.25,0.17,1.31,1.01,0.46,0.25,1.95,1.43,0.61,0.1
3372 典範,-0.56,-0.31,-0.17,-0.27,-0.14,-0.14,0.04,0.18,-0.05,-0.02,-0.03,-1.34,-1.41,-0.4,-0.15,-0.69,-0.41,-0.26,-0.28
3373 熱映,1.12,1,0.5,1.62,1.16,0.5,0.2,1.02,0.71,0.41,0.17,0.47,0.4,0.25,0.12,0.16,0.13,0.25,-0.03
3374 精材,-1.35,-0.81,-0.23,0.56,0.86,0.95,0.54,2.65,1.43,0.86,0.14,1.22,0.55,-0.09,,-0.39,,-0.63,
3376 新日興,3.42,2.06,1.05,9.02,6.53,3.8,2.11,6.36,4.16,2.6,1.36,5,3.57,1.88,1.21,6.01,4.49,2.5,0.39
3379 彬台,-1.48,-0.75,-0.64,-0.27,-0.77,-0.32,-0.36,1.41,0.34,0.29,-0.14,1.18,0.07,0.01,-0.05,4.07,3.09,2.47,1.58
3380 明泰,1.12,0.9,0.18,-0.74,-0.48,0.14,0.14,1.1,0.58,0.3,0.1,1.6,1.01,0.51,0.1,1.41,1.06,0.78,0.27
3383 新世紀,-3.75,-2.57,-1.2,-5.75,-2.74,-1.5,-0.59,0.38,0.52,0.34,0.15,-1.63,-1.7,-1.28,-0.57,-2.58,-1.58,-1.44,-0.93
3388 崇越電,3.61,2.07,0.85,4.68,3.63,2.3,1.07,5.14,3.93,2.56,1.22,5.42,4.06,2.68,1.2,5.48,4.02,2.67,1.12
3390 旭軟,-0.49,-0.26,-0.15,0.94,0.8,0.39,0.33,2.62,1.91,1.57,0.57,3.91,3.23,2.52,1.47,5.15,4.06,2.16,0.63
3402 漢科,1.98,1.45,0.66,1,0.99,0.75,0.29,0.64,0.32,0.12,0.11,0.02,0.01,0.01,0.14,0.96,0.73,0.64,0.21
3406 玉晶光,-4.73,-5.88,-3.17,-11.3,-9.84,-9.31,-4.72,-6.95,-6.64,-6.52,-3.5,-3.74,-3.44,-2.74,-0.41,9.04,5.76,3.52,2.81
3413 京鼎,5.84,3.17,1.12,8.11,5.59,3.02,1.31,5.38,4.98,2.77,0.88,1.64,,-0.45,,-3.59,,0.08,
3416 融程電,2.37,1.73,0.81,3.52,2.53,1.62,0.86,4.12,3.07,1.74,0.9,4.6,3.45,2.23,1.18,3.34,2.65,1.77,0.83
3419 譁裕,0.18,-0.24,-0.32,-0.5,-0.44,-0.48,-0.06,-0.29,-0.29,-0.21,-0.2,-1.11,-1.07,-0.88,0.03,0.86,0.41,0.32,0.12
3426 台興,2.68,1.36,0.36,3.12,0.64,1.76,0.64,3.51,,,,3.55,,,,1.75,,,
3428 光燿科,1.6,0.98,0.67,3.03,2.07,0.76,-0.02,2.3,1.83,1.25,0.61,1.58,0.85,0.45,0.27,0.53,-0.02,0.21,0.18
3431 長天,-1.22,-0.97,-0.72,-3.07,-2.3,-0.83,-0.35,-0.98,-0.74,-0.42,-0.3,0.06,-0.3,-0.27,-0.33,-0.49,-0.27,-0.24,0.06
3432 台端,-0.08,-0.01,-0.01,0.17,0.13,-0.2,-0.02,0.63,0.29,-0.03,-0.18,-0.84,-0.93,-0.85,-0.43,-2.21,-1.43,-0.92,-0.59
3434 哲固,0.48,0.28,0.09,0.72,0.46,0.01,0.07,0.35,0.25,0.07,0.03,0.06,0.05,0.09,0.07,-2.28,-2.3,-1.86,-0.68
3437 榮創,0.24,-0.02,0.21,2.38,1.68,1.09,0.8,3.07,2.45,2.06,1.09,5.29,4.46,2.56,1.01,3.51,,,
3438 類比科,-0.59,-0.15,0.11,0.01,0.13,0.44,0.33,2.01,1.22,0.75,0.55,1.7,1.24,0.89,0.62,2.32,1.9,1.35,0.5
3441 聯一光,-0.83,-0.63,-0.23,-0.43,-0.55,-0.78,-0.27,0.25,-0.37,-0.23,0.13,-0.07,0.13,0.3,0.11,3.02,2.94,1.94,0.91
3443 創意,2.95,1.94,1.19,3.69,2.41,1.49,0.83,3.27,2.59,1.88,1.03,2.16,1.09,0.82,0.68,4.57,3.58,2.1,0.74
3444 利機,0.74,0.53,0.17,1.11,0.74,0.41,0.23,1.57,1.11,0.61,0.24,0.73,0.4,0.13,0.08,0.47,0.53,0.46,0.23
3450 聯鈞,8.07,5.84,3.31,12.46,8.55,4.99,2.46,9.77,7.39,4.62,2.06,6.11,4.3,2.2,0.63,3.02,1.82,0.81,0.33
3452 益通,-0.77,-0.18,0,-1.04,-0.8,-0.57,-0.23,-0.98,-0.32,-0.1,-0.05,-2.16,-1.29,-0.64,-0.48,-3.75,-2.77,-1.47,-0.74
3454 晶睿,4.56,3.2,1.16,6.2,5.15,3.1,1.06,5.01,4.23,2.3,1.75,10.28,8.41,5.81,2.85,8.49,6.33,3.36,1.62
3455 由田,0.51,-0.96,-0.51,3.06,1.87,0.55,-0.18,2.01,-0.5,-1.48,-1.17,-0.99,-1.7,-0.76,0.03,-3.49,-3.37,-2.39,-0.95
3465 祥業,-2.28,-1.17,-0.69,-2.93,-2.88,-2.05,-1.56,-3.9,-2.14,-0.91,-0.33,-0.61,-0.12,0.03,0.03,0.3,0.34,-0.18,-0.12
3466 致振,-0.37,0.05,-0.04,-0.44,-0.01,-0.43,-0.2,1.67,1.51,1.11,0.86,1.51,0.93,0.38,0.24,1.47,1.19,0.66,0.36
3479 安勤,4.09,3.05,1.51,4.35,2.9,1.32,0.72,3.5,2.54,1.51,0.72,3.65,3.03,1.74,0.94,4.88,4.38,1.97,0.66
3481 群創,-0.9,-1.21,-0.86,1.09,1.77,1.42,0.87,2.31,1.14,0.35,0.02,0.57,0.72,0.65,0.19,-3.91,-3.56,-3.05,-1.75
3483 力致,1.1,0.37,-0.19,-0.73,-1.59,-1.73,-0.23,0.13,-0.25,0.17,0.1,-1.31,-1.41,-1.28,-0.76,2.83,2.67,1.84,0.76
3484 崧騰,2,1.08,0.62,3.04,2.12,1.37,0.88,3.75,2.48,1.23,0.53,1.72,1.34,0.65,0.13,0.79,0.55,0.38,0.14
3489 森寶,1.26,0.24,0.09,-0.84,0.02,-0.18,-0.1,0.39,0.31,0.35,0.4,1.1,-0.06,0.03,0.07,-1.89,-1.12,-1.01,-0.55
3490 單井,0.85,1.18,1.56,6.44,5.9,4.6,2.01,9.15,6.33,1.92,0.16,1.43,0.94,1,0.84,-0.58,0.16,0.07,0.26
3491 昇達科,2.73,1.72,0.71,4.52,3.58,2.09,0.85,3.57,2.76,2.08,0.96,3.27,2.48,1.96,0.74,3.21,2.2,1.26,0.42
3492 長盛,1.92,1.09,0.79,2.29,1.9,0.79,0.22,1.28,1.08,0.46,0.39,0.89,1.87,1.43,,0.04,,-0.96,
3494 誠研,-0.46,-0.06,0.08,-0.15,-0.12,0,0.01,0.47,0.32,0.13,0.1,-0.43,-0.59,-0.68,-0.34,-0.15,-0.07,-0.07,-0.05
3498 陽程,0.85,1.26,1.22,5.2,3.9,1.1,-0.22,3.35,1.54,0.5,0.61,7.13,6.18,4.03,2.05,1.86,-1.94,-1.54,-1.05
3499 環天科,-0.32,-0.23,-0.25,0.3,0.3,0.01,0.01,-0.77,-0.75,-0.78,-0.52,-1.9,-1.14,-0.33,-0.18,-0.44,-0.35,-0.27,-0.42
3501 維熹,4.09,2.69,1.51,6.32,4.95,2.64,1.19,4.03,2.62,1.51,0.79,4.25,3.47,2.51,1.29,4.45,3.15,2.16,1.02
3504 揚明光,-1.51,-1.26,-0.59,1.13,0.97,0.47,0.16,1.69,1.01,0.48,0.2,2.09,1.95,1.21,0.61,3.8,2.56,1.57,0.88
3508 位速,-4.76,-2.92,-1,-4.97,-3.59,-2.74,-1.5,-7.66,-5.88,-2.85,-1.09,-1.36,0.01,1.19,1.51,5.01,2.55,2.01,1.13
3511 矽瑪,-3.15,-1.42,-0.54,1.1,1.47,0.46,-0.63,-1.66,-1.48,-1.29,-0.59,-1.68,-0.49,0.38,0.3,0.7,-0.11,-0.15,-0.16
3512 能緹,-1.01,-0.84,-0.43,0.55,0.35,-0.58,-0.55,-0.17,-0.26,-0.19,-0.79,-2.6,-1.47,-0.99,-0.16,0.25,0.1,-0.02,-0.07
3514 昱晶,-4.34,1.37,1.16,-0.23,-1.18,-1.55,-0.73,-0.93,-0.42,0.66,0.6,-1.65,-2.41,-1.12,-1.45,-5.68,-2.14,-1.08,-0.61
