,TWII.Open,TWII.High,TWII.Low,TWII.Close,TWII.Volume,TWII.Adjusted,add/less
2013/8/6,8129.850098,8129.850098,8028.930176,8038.910156,2093500,8038.878532,-99.719334
2013/8/7,7993.569824,7993.569824,7921.290039,7921.290039,2091200,7921.258877,-117.619655
2013/8/8,7910.200195,7932.350098,7894.180176,7907.669922,1950400,7907.638814,-13.620063
2013/8/9,7955,7955,7853.970215,7856.140137,2009000,7856.109231,-51.529583
2013/8/12,7878.220215,7908.680176,7862.040039,7903.379883,1668000,7903.348792,47.239561
2013/8/13,7935.790039,7986.27002,7935.790039,7986.27002,1916200,7986.238602,82.88981
2013/8/14,7978.740234,7981.560059,7926.22998,7951.330078,2004300,7951.298798,-34.939804
2013/8/15,7903.009766,7916.02002,7850.27002,7887.259766,2166600,7887.228738,-64.07006
2013/8/16,7854.680176,7949.430176,7850.490234,7925,2037700,7924.968824,37.740086
2013/8/19,7937.450195,7944.740234,7888.870117,7900.209961,1804300,7900.178882,-24.789942
2013/8/20,7896.379883,7924.52002,7829.779785,7832.649902,2051400,7832.619089,-67.559793
2013/8/22,7779.439941,7825.560059,7737.330078,7814.379883,2255900,7814.349142,-18.269947
2013/8/23,7863.72998,7895.129883,7845.919922,7873.310059,1946600,7873.279086,58.929944
2013/8/26,7906.52002,7913.740234,7874.049805,7894.970215,1564000,7894.939157,21.660071
2013/8/27,7875.930176,7895.22998,7820.839844,7820.839844,1852400,7820.809077,-74.13008
2013/8/28,7776.870117,7834.109863,7761.759766,7824.540039,1666200,7824.509258,3.700181
2013/8/29,7841.990234,7931.049805,7841.990234,7917.660156,1754200,7917.629009,93.119751
2013/8/30,7949.990234,8021.890137,7936.819824,8021.890137,2087800,8021.858579,104.22957
2013/9/2,8010.149902,8052.709961,7993.129883,8038.859863,1807200,8038.828239,16.96966
2013/9/3,8095.660156,8102.660156,8067.620117,8088.370117,2107400,8088.338298,49.510059
2013/9/4,8066.669922,8094.120117,8041.490234,8083.439941,2034100,8083.408142,-4.930156
2013/9/5,8109.240234,8169.100098,8107.220215,8169.100098,2419300,8169.067961,85.659819
2013/9/6,8180.529785,8182.560059,8155.5,8164.200195,2418400,8164.168078,-4.899883
2013/9/9,8176.470215,8192.110352,8117.870117,8192.110352,2156500,8192.078125,27.910047
2013/9/10,8217.209961,8238.910156,8155.870117,8208.769531,2388600,8208.737239,16.659114
2013/9/11,8174.540039,8208.990234,8137.069824,8208.990234,2169100,8208.957941,0.220702
2013/9/12,8180.379883,8226.610352,8177.029785,8225.360352,2168200,8225.327994,16.370053
2013/9/13,8210.150391,8228.669922,8162.140137,8168.200195,1606400,8168.168062,-57.159932
2013/9/16,8189.609863,8255.339844,8189.609863,8255.339844,1894800,8255.307368,87.139306
2013/9/17,8241.030273,8249.780273,8218.94043,8249.780273,1632500,8249.74782,-5.559548
2013/9/18,8248.179688,8263.049805,8209.179688,8209.179688,1853300,8209.147393,-40.600427
2013/9/23,8226.799805,8293.030273,8221.339844,8292.830078,2274900,8292.797455,83.650062
2013/9/24,8295.5,8310.94043,8265.549805,8299.120117,2283200,8299.087469,6.290014
2013/9/25,8283.599609,8285.280273,8253.429688,8283.900391,2257100,8283.867803,-15.219666
2013/9/26,8290.099609,8290.099609,8184.680176,8184.680176,2068800,8184.647978,-99.219825
2013/9/27,8222.129883,8244.860352,8207.719727,8230.679688,2154900,8230.647309,45.999331
2013/9/30,8174.859863,8204.400391,8137.109863,8173.870117,1885800,8173.837962,-56.809347
2013/10/1,8173.990234,8222.379883,8172.790039,8187.02002,2001300,8186.987813,13.149851
2013/10/2,8215.959961,8228.80957,8204.339844,8216.519531,2471200,8216.487208,29.499395
2013/10/3,8231.679688,8376.790039,8231.679688,8359.019531,3252800,8358.986648,142.49944
2013/10/4,8345.820312,8376.05957,8336.610352,8364.549805,2566700,8364.516899,5.530251
2013/10/7,8354.910156,8361.5,8323.790039,8333.660156,2777100,8333.627372,-30.889527
