company name,index,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台火,9902,0.35,0.18,1.06,0.76,0.58,0.28,1.56,0.9,0.32,0.08,1.7,1.25,1.22,0.39,1.43,1.14,0.76,0.58
寶成,9904,47.76,22.89,91.31,67.34,45.05,21.13,82.87,61.02,40.7,18.95,77.25,56.77,37.71,17.31,94.13,57.58,37.64,19.51
大華,9905,11.51,5.31,26.08,21.23,13.84,6.21,26.37,20.91,13.75,6.49,27.28,21.39,13.76,6.29,27.98,22.25,13.89,6.43
欣巴巴,9906,5.61,1.01,10.99,8.64,7.82,4.58,0.32,0.32,0.32,0.17,14.28,5.03,0.04,0.02,2.24,14.27,1.6,0.89
統一實,9907,10.64,5.28,22.91,18.29,12.38,6.63,23.07,17.75,11.69,5.97,21.02,15.35,9.3,4.54,17.71,13.08,8.57,4.16
大台北,9908,3.81,2.09,8.25,6.33,4.57,2.49,11.02,8.14,5.78,3.1,10.68,7.82,5.58,2.96,10.47,7.63,5.42,2.92
豐泰,9910,44.28,21.12,93.57,68.8,43.9,20.65,82.3,59.67,38.22,17.67,68.52,50.27,33.05,15.48,68.83,51.3,34.1,14.83
櫻花,9911,12.6,6.76,18.82,12.76,8.57,4.59,17.74,12.21,8.31,4.43,16.4,11.02,7.26,3.82,14.89,10.22,6.98,3.81
偉聯,9912,7.2,3.5,12.73,9.25,5.98,3.07,12.71,9.32,6.52,3.22,12.51,8.9,5.82,2.82,13.91,10.68,7.22,3.63
美利達,9914,37.05,18.25,93.97,72.69,44.26,20.73,91.03,67.43,41.59,18.97,88.88,65.78,38.75,18.54,85.61,62.2,35.51,16.65
中保,9917,14.98,7.28,30.14,22.44,14.96,7.46,29.67,21.83,14.37,7.13,29.05,21.49,14.24,7.03,27.78,20.72,13.73,6.77
欣天然,9918,5.85,3.37,11.89,9.4,7.42,4.45,15.67,12.06,9.3,5.38,15.08,11.34,8.85,4.84,15.66,11.32,8.57,4.73
康那香,9919,10.57,5.48,22.91,16.79,11.33,5.39,22.12,17.03,11.51,5.95,22.49,16.44,10.66,5.41,24.44,19.68,13.5,6.93
巨大,9921,77.54,38.27,161.09,126.14,80.52,38.89,160.09,122.74,78.22,37.86,145.02,112.26,72.51,35.3,144.09,109.66,69.67,34.12
福興,9924,22.23,10.49,42.38,31.98,20.65,10.2,37.54,27.58,17.58,8.21,31.24,23.33,14.79,6.68,26.61,19.5,12.57,5.85
新保,9925,9.42,4.71,18.52,13.81,9.1,4.49,18.06,13.61,9.07,4.53,19.96,14.77,9.98,4.72,18.19,13.71,9.04,4.61
新海,9926,5.96,3.4,12.88,9.83,7.15,4.05,16.6,12.3,9.1,5.09,15.98,11.46,8.37,4.46,18.07,12.84,9.35,5.31
泰銘,9927,20.36,9.54,50.13,37.88,25.57,12.78,49.86,35.62,22.87,10.41,42.51,31.64,21.28,10.68,47.73,33.6,22.2,11.02
中視,9928,2.9,1.43,7.18,4.77,2.91,1.18,7.58,5.2,3.51,1.74,9.52,6.39,3.97,1.86,11.13,8.16,4.95,2.4
秋雨,9929,1.93,1.03,6.75,4.98,2.2,1.14,8.37,6.41,4.38,2.22,8.97,6.64,4.46,2.23,10.87,8.19,5.46,2.69
中聯資源,9930,15.72,7.61,34.15,25.12,17.22,8.53,31.1,22.37,14.99,7.33,27.65,20.14,13.41,6.26,24.23,18.13,12.07,5.81
欣高,9931,5.81,3.21,12.35,9.63,7.21,3.87,15.42,11.66,8.42,4.46,15.15,11.29,8.14,4.2,14.42,10.78,7.63,4.05
中鼎,9933,41.72,17.89,88.25,60.94,39.3,17.61,76.28,53.64,34.39,16.03,69.99,49.7,32.94,15.31,82.78,56.97,35.67,16.23
成霖,9934,28.74,13.68,56.31,41.36,27.02,13.02,56.41,42.27,28.47,13.81,58.1,42.99,28.61,14.13,60.05,45.49,30.46,14.48
慶豐富,9935,11.25,5.13,21.31,16.16,11.02,5.13,21.89,16.75,11.3,4.8,27.39,20.53,12.94,7.05,28.81,22.44,13.01,5.14
全國,9937,28.38,13.14,66.53,51.05,34.14,16.28,91.56,71.35,47.57,23.4,98.65,73.78,48.64,24.66,100.82,75.74,49.45,24.81
百和,9938,17.39,8.38,31.69,23.15,15.22,7.2,30.59,22.19,14.77,7.1,27.21,19.44,12.64,5.46,23.43,16.43,10.81,5.15
宏全,9939,29.39,13.24,56.6,46.3,31.24,14.18,66.29,53.8,35.33,16.67,63.91,52.15,33.67,15.33,59.98,48.64,31.13,13.3
信義,9940,5.76,2.47,11.91,8.94,6.27,2.86,14.51,10.89,7.59,3.59,24.05,17.91,11.86,5.08,18.79,13.45,9.19,3.9
裕融,9941,32.22,15.86,62.99,46.64,30.91,15.48,59.95,43.97,28.76,14.21,58.2,43.26,29.09,14.25,43.14,31.65,20.58,10.04
茂順,9942,17.67,8.38,33.57,25.21,17.09,8.38,34.92,26.34,17.73,8.54,30.5,22.57,14.81,6.75,28.37,21.17,14.53,7.02
好樂迪,9943,10.08,5.2,20.91,16.16,10.96,5.97,21.95,16.63,11.13,5.84,22.25,17.18,11.41,5.96,23.28,17.89,12.07,6.38
