,,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率
company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
亞力,s1514,3.45,4.77,7.5,3.33,4.19,2.46,2.51,3.26,2.34,1.04,3.58,1.97,1.95,2.69,2.96,2.86,3.29,2.93,4.19
力山,s1515,3.57,1.34,0.49,3.7,4.91,0.45,2.16,4.05,2.45,0.46,1.42,6.26,5.71,8.44,1.64,1.88,1.86,2.03,0.29
川飛,s1516,4.97,6.19,10.1,22.13,40.27,76.09,155.93,15.62,8.27,4.75,3.55,3.16,3.26,1.79,3.25,-41.49,-54.65,-99.47,-14.36
利奇,s1517,1.63,1.28,0.61,4.43,5.27,4.14,1.19,6.83,7.17,6.45,7.91,10.16,8.5,7.37,6.86,7.36,6.28,5.36,4.12
華城,s1519,5.63,4.42,-3.39,3.94,4.14,4.62,-0.28,5.1,3.63,2.92,4.54,2.59,2.72,1.46,1.39,1.53,-2.1,-5.17,-11.79
大億,s1521,8.6,9.82,10.91,7.84,8.66,8.93,10.58,7.5,7.82,8.11,8.73,7.29,6.53,6.23,5.67,6.61,6.66,7.38,7.02
堤維西,s1522,6.77,6.82,6.45,5.79,5.34,3.85,3.95,4.45,3.97,3.94,5.65,1.21,2.01,3.18,3.3,-0.78,-0.62,-0.04,-1.25
耿鼎,s1524,7.32,8.52,8.07,-7.66,-14.15,-24.39,-36.18,0.27,0.09,0.37,2.07,-1.99,-0.21,0.96,0.64,-4.41,-3.61,-3.43,-2.83
江申,s1525,43.98,43.64,50.14,36.39,29.83,29.03,31.7,26.95,27.75,27.55,29.84,24.25,24.61,21.61,20.16,21.41,21.66,23.92,25.67
日馳,s1526,7.69,10.83,5.69,8.05,10.47,5.22,2.25,7.19,6.94,7.19,7.37,4.95,5,5.48,5.55,2.21,1.9,1.53,0.45
鑽全,s1527,17.66,24.78,17.62,28.48,27.65,4.52,5.78,30.79,23.32,18.06,36.82,19.41,18.42,28.05,36.43,2.29,2.28,6.02,-11.98
恩德,s1528,2.14,2.91,3.21,-1.34,0.36,0.47,0.01,0.49,0.08,1.9,3.25,3.36,3.28,4.06,3.15,3.02,2.76,2.3,0.27
樂士,s1529,-0.81,3.17,18.53,-259.91,-81.12,-66.89,-26.08,-62.48,-49.76,-71.32,-38.22,-66.23,-75.94,-16.35,-38.21,-310.37,-400.54,-494.42,-251.5
亞崴,s1530,3.29,3.88,3.1,7.24,8.33,4.03,7.26,7.15,6.53,6.12,8.36,7.89,7.15,8.35,10.9,7.25,8.15,7.57,7.3
高林股,s1531,3.49,3.72,1.14,5.72,6.51,4.96,3.17,7.27,6.73,7.48,9.97,9.59,10.04,10.88,11.47,13.17,10.53,4.36,8.93
勤美,s1532,10.9,8.79,9.74,10.67,9.71,7.76,8.34,6.97,4.37,4,5.15,25.75,10.63,10.78,11.1,7.93,6.9,7.24,6.02
車王電,s1533,3.35,3.26,4.69,6.62,6.6,3.9,3.61,8.58,8.45,9.96,13.2,8.58,8.31,7.05,7.22,3.69,7.43,8.99,2.97
