company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
台化,1326,16753073,14305132,7819137,7113809,8971723,13474924,2057091,-5261322,8737920,4226199,6316423,3785257,9768118,4592073,8533076,3859395,6715670,-5723066,3394906
恩得利,1333,-2922,-7260,-21129,-32968,1630,-6812,4098,-24619,5824,-10833,-69055,-35732,-13035,15369,8393,-3539,4052,-22590,-39058
台翰,1336,-41255,-58627,-27456,-20533,-33974,-60358,-34215,-71404,2201,7964,21487,25313,-12572,-12328,5834,1090,-10489,-37323,-4522
再生-KY,1337,133208,142342,113708,177024,111809,33531,68099,216433,281747,329008,305947,229421,450081,377588,230132,340278,415056,429242,316376
廣華-KY,1338,134362,132772,180001,199595,180366,191051,182322,190920,148005,167836,126583,193538,124680,90916,51008,9403,92046,124682,90630
昭輝,1339,18051,48343,51077,107084,114955,53234,73358,87294,62488,68917,82633,69419,31083,48776,70210,54495,41494,34761,37777
勝悅-KY,1340,250532,272597,173201,223340,264154,221916,153403,272802,244269,227248,189937,206233,203903,157025,134218,530463,0,0,0
遠東新,1402,3150760,3511286,2566862,2114972,2378812,5566081,4626504,2549871,4497300,6413512,3547289,6472641,4805522,6045500,3618306,2720428,2716671,4761614,4790003
新纖,1409,241924,224622,193888,-156325,620544,125338,224192,169704,438918,418625,695741,275587,537243,563048,307862,310635,460432,288634,360628
南染,1410,26298,36443,31915,28466,35979,40327,23923,28517,40481,26458,16175,23142,29423,29660,19526,23606,38053,46212,15211
宏洲,1413,-23572,-15192,-3319,32001,-36131,40213,-32724,-75787,-99550,-22999,-48839,-87158,-20319,-118976,-71515,-152548,-43239,-3854,-70876
東和,1414,-1835,-1627,-4234,15623,12247,-4231,-16421,26298,-10036,8291,21316,21706,27605,54599,32362,23394,28855,12566,26600
廣豐,1416,140535,751761,385038,-63747,-71053,-56063,155538,258115,179867,84571,-41978,181448,-43118,-64886,-9898,190665,-33380,943406,3179
嘉裕,1417,-88929,94685,-121473,-72078,-129389,-90047,-93089,23832,-65510,-15060,85839,113237,-29676,-57022,-9910,12155,2579,43159,111593
東華,1418,-58894,-30154,-26097,-69231,-22712,-26304,-61834,-63887,-43739,-10640,-41899,-28232,-28970,-40253,-24914,-21500,-95671,-112327,35223
新紡,1419,162365,-11152,-16025,-19718,178379,-21763,-25483,-38676,80442,74267,-11751,-10628,61571,126384,-12931,8561,147173,11277,8808
利華,1423,3477,4413,4887,-16885,-16791,16078,-18412,-9523,-20481,-3179,-41466,22055,-9254,-37688,21160,-7766,-63652,-53362,25533
大魯閣,1432,-168319,-58369,89289,-96426,-5533,43860,-79840,-84857,46457,-46774,-60630,-38130,-13022,-4516,-58305,642077,-10456,-11284,-42747
福懋,1434,2138876,508713,730154,716984,1121975,769039,615954,770981,1645345,812829,590520,522498,439333,689174,525971,182181,1174237,684251,476006
中福,1435,29,-377,-6163,-4249,594,-685,723,-2640,973,9,3,-8776,462,-1714,-1219,-8694,-4006,14671,-943
華友聯,1436,18916,38809,-22318,4965,-13855,-21988,-7168,33887,69777,215442,1976,5583,-5004,-8497,-3123,7438,43539,-220614,-2215
