company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
第一金,2892,13407197,8746263,4405605,15962231,12018115,8107873,4109203,14077646,11705138,8205007,3654573,10876974,9292945,6360726,2970056,10117539,9016300,6619728,3017573
欣欣,2901,27729,10024,6037,40013,34669,13416,6559,35784,29548,12163,6042,36446,29726,13021,6518,34895,28966,11538,5415
遠百,2903,675367,511935,388048,2153301,1112532,421285,200823,2159418,1318819,935112,500199,3040718,1796147,1230288,948165,2506291,1283819,802887,913511
匯僑,2904,82948,62398,37149,154946,127143,87535,42360,153291,124255,80586,40472,150554,124313,85942,49133,201010,162582,101512,49891
三商,2905,4442844,2765317,342571,3133276,4246696,2919450,741649,2634762,2460017,997749,-576344,1842445,1642393,1139850,222821,1386509,2203097,743518,253678
高林,2906,53047,23061,14397,142020,167292,188611,39433,216288,150406,51767,19541,78317,35965,2203,9614,82591,88699,66651,36447
特力,2908,575763,423421,306124,670485,571397,419778,309826,715167,535745,385732,277395,640614,464646,334771,248482,750240,644110,453954,278545
統領,2910,36982,9730,7448,80542,53202,40087,19312,170506,143336,119687,57996,99829,80453,59929,34898,125468,86709,55854,43591
麗嬰房,2911,-149232,-89796,17251,-52191,-74531,-68424,34817,-94264,-177170,-157002,-49919,-58611,-129944,-70981,49582,173504,133809,67119,90545
統一超,2912,8821499,5684052,2743265,9442454,7588820,4837870,2367042,10248160,8496366,5699124,3208147,9242293,7428440,4869073,2268424,7623507,6213860,3806388,1927645
農林,2913,347578,204053,127883,760152,609075,418333,219782,875496,551422,293358,170687,1032995,679556,477039,305342,944994,351336,210419,55956
潤泰全,2915,6010512,3459437,2786525,8066345,6001104,3507713,1675475,8415632,6548764,3061708,1555750,78952538,4873967,3069392,1392874,4350967,2180104,2330047,-71779
滿心,2916,15293,22333,18808,80247,28996,35823,20683,67527,13361,21962,16673,46928,-2216,7066,-2602,28305,-3416,11433,20872
